Standard	id	relevance	benchmark	text

NSES	S1004CC9	Inquiry / K-4	"Scientists use different kinds of investigations depending on the questions they are trying to answer.  Types of investigations include describing objects, events, and organisms; classifying them; and doing a fair test (experimenting)."	"Science as Inquiry: Content Standard A:As a result of activities in grades K-4, all students should develop -Abilities necessary to do scientific inquiry -Understanding about scientific inquiry: Understandings About Scientific Inquiry"

	S1014AED	1	3. The student will know that scientists use different kinds of investigations depending on the questions they are trying to answer.	I. History and Nature of Science: B. Scientific Inquiry: The student will understand the nature of scientific investigations.:
	S10242B3		1. The student will ask questions about the natural world that can be investigated scientifically.	I. History and Nature of Science: B. Scientific Inquiry: The student will understand the nature of scientific investigations.:
	S10234FF		"2. The student will collect, organize, analyze and present data from a controlled experiment."	I. History and Nature of Science: B. Scientific Inquiry: The student will participate in a controlled scientific investigation.:
	S1019D80		1. The student will explore the uses and effects of science in our interaction with the natural world.	I. History and Nature of Science: A. Scientific World View: The student will understand how science is used to investigate interactions between people and the natural world.:
	S10144D9		2. The student will participate in a scientific investigation using appropriate tools.	I. History and Nature of Science: B. Scientific Inquiry: The student will understand the nature of scientific investigations.:

NSES	S1011D26	Inquiry / K-4	"Communicate investigations and explanations. Students should begin developing the abilities to communicate, critique, and analyze their work and the work of other students. This communication might be spoken or drawn as well as written."	"Science as Inquiry: Content Standard A:As a result of activities in grades K-4, all students should develop -Abilities necessary to do scientific inquiry -Understanding about scientific inquiry: Abilities Necessary to Do Scientific Inquiry"

	S100C491		2. The student will recognize that scientific investigations generally work the same way in different places.	I. History and Nature of Science: A. Scientific World View: The student will understand that science is a human endeavor practiced throughout the world.:
	S1014AED		3. The student will know that scientists use different kinds of investigations depending on the questions they are trying to answer.	I. History and Nature of Science: B. Scientific Inquiry: The student will understand the nature of scientific investigations.:
	S10144D9		2. The student will participate in a scientific investigation using appropriate tools.	I. History and Nature of Science: B. Scientific Inquiry: The student will understand the nature of scientific investigations.:
	S100F0C6		1. The student will recognize that repeating a scientific investigation will lead to very similar results.	I. History and Nature of Science: A. Scientific World View: The student will understand that science is a human endeavor practiced throughout the world.:
	S10234FF	2	"2. The student will collect, organize, analyze and present data from a controlled experiment."	I. History and Nature of Science: B. Scientific Inquiry: The student will participate in a controlled scientific investigation.:

NSES	S1010EF9	Inquiry / 5-8	Technology used to gather data enhances accuracy and allows scientists to analyze and quantify results of investigations.	"Science as Inquiry: Content Standard A:As a result of activities in grades 5-8, all students should develop -Abilities necessary to do scientific inquiry -Understandings about scientific inquiry: Understandings About Scientific Inquiry"

	S1018E57		2. The student will explain why scientists often repeat investigations to be sure of the results.	"I. History and Nature of Science: A. Scientific World View: The student will understand that science is a way of knowing about the world that is characterized by empirical criteria, logical argument and skeptical review.:"
	S100EE67		"3. The student will use appropriate technology and mathematics skills to access, gather, store, retrieve and organize data."	I. History and Nature of Science: B. Scientific Inquiry: The student will use multiple skills to design and conduct scientific investigations.:
	S10135D2		2. The student will describe how scientists can conduct investigations in a simple system and make generalizations to more complex systems.	I. History and Nature of Science: B. Scientific Inquiry: The student will understand that scientific inquiry is used by scientists to investigate the natural world in systematic ways.:
	S1024178		1. The student will relate personal experiences in scientific investigation to the experiences of scientists throughout history.	"I. History and Nature of Science: D. Historic Perspectives: The student will understand how scientific discovery, culture, societal norms and technology have influenced one another in different time periods.:"
	S10171D3		"1. The student will give examples of the development of technology influencing scientific knowledge, and investigation and scientific knowledge influencing the development of technology."	I. History and Nature of Science: C. Scientific Enterprise: The student will know that science and technology are human efforts that both influence and are influenced by society.:

NSES	S1014165	Inquiry / 5-8	"Different kinds of questions suggest different kinds of scientific investigations. Some investigations involve observing and describing objects, organisms, or events; some involve collecting specimens; some involve experiments; some involve seeking more information; some involve discovery of new objects and phenomena; and some involve making models."	"Science as Inquiry: Content Standard A:As a result of activities in grades 5-8, all students should develop -Abilities necessary to do scientific inquiry -Understandings about scientific inquiry: Understandings About Scientific Inquiry"

