upid	peid	active	purged_by_hr
1	092079	0	0
2	082486	0	0
3	014005	0	0
4	080504	0	0
5	018730	0	0
6	082271	0	0
7	021610	1	0
8	093826	0	0
10	039880	0	0
11	035077	0	0
12	031069	0	0
13	028973	0	0
14	013190	0	0
15	010314	0	0
16	012404	0	0
17	092083	0	0
18	024451	0	0
19	082122	0	0
20	094357	0	0
23	010040	0	0
24	094411	0	0
25	021521	0	0
26	090915	0	0
27	082363	0	0
29	018220	0	0
30	016570	0	0
31	092943	0	0
32	083690	0	0
33	012797	0	0
34	036552	0	0
35	090651	0	0
36	091102	0	0
37	036250	0	0
38	047487	0	0
39	084879	0	0
41	038644	0	0
42	010152	0	0
43	084373	0	0
44	028470	0	0
45	049445	0	0
46	083416	0	0
47	083280	0	0
48	084918	0	0
49	085018	0	0
50	037411	0	0
51	025030	0	0
52	039886	0	0
53	083604	0	0
54	037254	1	0
55	033777	0	0
56	018288	0	0
57	017425	0	0
58	025960	0	0
59	094015	0	0
60	012931	0	0
61	033282	0	0
62	018440	0	0
63	041004	0	0
64	039995	0	0
65	080072	0	0
66	030322	0	0
67	035130	0	0
68	019017	0	0
69	092111	0	0
72	077192	0	0
73	048167	0	0
74	041244	0	0
75	093698	0	0
76	035426	0	0
77	085676	0	0
78	035283	0	0
79	025599	0	0
80	084716	0	0
81	035435	0	0
82	092903	0	0
83	094384	0	0
84	010300	1	0
85	010169	1	0
86	091894	0	0
88	037340	0	0
89	092336	0	0
90	028596	0	0
91	023812	0	0
92	019310	0	0
93	098298	0	0
94	084973	0	0
96	027242	0	0
97	013440	0	0
98	074835	0	0
99	092893	0	0
100	026641	1	0
101	084037	0	0
102	014698	0	0
103	013180	0	0
105	049839	0	0
106	092131	0	0
107	082314	0	0
109	084996	0	0
110	084541	0	0
111	025677	0	0
114	038930	0	0
115	040047	0	0
116	080987	0	0
118	025196	1	0
119	038250	0	0
120	013676	0	0
121	030978	0	0
122	082755	0	0
123	093927	0	0
124	084339	0	0
125	020295	1	0
127	011068	0	0
128	081558	0	0
130	029092	0	0
131	011461	0	0
132	090343	0	0
133	034715	0	0
134	010201	0	0
137	032393	0	0
138	028578	1	0
139	049823	0	0
141	044460	0	0
142	043267	0	0
143	083244	0	0
144	093050	0	0
145	049605	0	0
146	093467	0	0
147	015130	1	0
148	082777	0	0
150	043368	0	0
151	000406	0	0
152	093131	0	0
153	012436	0	0
154	093920	0	0
156	014236	0	0
157	011910	0	0
158	081697	0	0
160	017315	0	0
161	043038	0	0
162	027204	0	0
163	030512	0	0
164	081354	0	0
165	085197	0	0
166	010402	0	0
167	040132	0	0
168	000314	0	0
171	037092	0	0
172	045201	0	0
173	018315	0	0
174	038803	0	0
176	021416	0	0
178	093216	0	0
179	085902	0	0
180	047237	0	0
181	039851	0	0
183	036459	0	0
185	083608	0	0
186	093775	0	0
187	091675	0	0
190	083899	0	0
192	090841	0	0
193	038096	0	0
194	031163	1	0
195	081735	0	0
196	083752	0	0
197	035222	0	0
199	040225	0	0
201	017658	0	0
202	080816	0	0
203	093538	0	0
204	098254	0	0
205	086004	0	0
207	043960	0	0
208	042598	0	0
209	082704	0	0
210	015440	0	0
211	037388	0	0
212	085116	0	0
213	023826	0	0
214	044680	0	0
216	093736	0	0
219	028773	0	0
220	042632	0	0
221	084297	0	0
222	030937	0	0
224	082678	0	0
225	030827	0	0
226	010138	0	0
227	081044	0	0
228	033798	0	0
230	080467	0	0
231	030534	0	0
232	082904	0	0
233	042933	0	0
234	038820	0	0
235	084012	0	0
236	029400	0	0
237	084596	0	0
238	037846	0	0
239	033144	1	0
240	037505	0	0
241	025598	1	0
242	039171	0	0
244	032960	0	0
245	082099	0	0
246	020294	0	0
247	085673	0	0
248	081156	0	0
249	044517	0	0
