Journal Articles																																
Journ #	Author Last	Author First	Author Middle 1	Author Middle 2	Institutional Affiliation	Publication Year	Publication State (Status)	Status Date (yyyy/mm/dd)	Resource Type	"Collaboration (UCAR Only, UCAR and University, UCAR and Other, UCAR, University and Other "	Refereed? (Classification)	Article Title	Journal Name	Published via Open Access? (Yes or No)	Volume	Page Start	Page End	DOI	Notes													
Num	Author Last	Author First	Author Middle 1	Author Middle 2	Institutional Affiliation	Publication Year	Status	Status Date 	Resource Type	Collaboration	Classification	Title	Journal Name	Open Access	Volume	Page Start	Page End	DOI	Notes													
1	Sherwood	Steve	C		University of New South Wales	2010	published 	2010/04/13	Article-Journal	"UCAR, University and Other"	yes 	"Tropospheric water vapor, convection and climate "	Reviews of Geophysics 	No	48	1	29	10.1029/2009RG000301 														
	Roca	Remi			Institut Pierre et Simon Laplace	2010	published 	2010/04/13	Article-Journal	"UCAR, University and Other"	yes 	"Tropospheric water vapor, convection and climate "	Reviews of Geophysics 	No	48	1	29	10.1029/2009RG000301 														
	Weckwerth	Tammy	M		"UCAR, NCAR, EOL, RSF"	2010	published 	2010/04/13	Article-Journal	"UCAR, University and Other"	yes 	"Tropospheric water vapor, convection and climate "	Reviews of Geophysics 	No	48	1	29	10.1029/2009RG000301 														
	Andronova	Natalia	G		University of Michigan	2010	published 	2010/04/13	Article-Journal	"UCAR, University and Other"	yes 	"Tropospheric water vapor, convection and climate "	Reviews of Geophysics 	No	48	1	29	10.1029/2009RG000301 														
2	Bennett	Lindsay	J		University of Leeds	2010	published 	2010/07/01	Article-Journal	UCAR and University	yes 	Observations of the evolution of the nocturnal and convective boundary layers and the structure of open-celled convection on 14 June 2003	Monthly Weather Review 	No	138	2589	2607	10.1175/2010MWR3200.1 														
	Weckwerth	Tammy			"UCAR, NCAR, EOL, RSF"	2010	published 	2010/07/01	Article-Journal	UCAR and University	yes 	Observations of the evolution of the nocturnal and convective boundary layers and the structure of open-celled convection on 14 June 2002 	Monthly Weather Review 	No	138	2589	2607	10.1175/2010MWR3200.1 														
	Blyth	Alan	M		University of Leeds	2010	published 	2010/07/01	Article-Journal	UCAR and University	yes 	Observations of the evolution of the nocturnal and convective boundary layers and the structure of open-celled convection on 14 June 2004	Monthly Weather Review 	No	138	2589	2607	10.1175/2010MWR3200.1 														
	Geerts	Bart			University of Wyoming	2010	published 	2010/07/01	Article-Journal	UCAR and University	yes 	Observations of the evolution of the nocturnal and convective boundary layers and the structure of open-celled convection on 14 June 2005	Monthly Weather Review 	No	138	2589	2607	10.1175/2010MWR3200.1 														
	Miao	Qun			University of Wyoming	2010	published 	2010/07/01	Article-Journal	UCAR and University	yes 	Observations of the evolution of the nocturnal and convective boundary layers and the structure of open-celled convection on 14 June 2006	Monthly Weather Review 	No	138	2589	2607	10.1175/2010MWR3200.1 														
