Conference Proceedings																			
Pub. #	Author Last	Author First	Author Middle 1	Author Middle 2	Institutional Affiliation	"Collaboration (UCAR Only, UCAR and University, UCAR and Other, UCAR, University and Other "	Publication Year  	Publication Type  	Publication Title  	City  	State  	Country  	Fiscal Year  	Published via Open Access?					
Num	Author Last	Author First	Author Middle 1	Author Middle 2	Institutional Affiliation	Collaboration	Publication Year  	Publication Type  	Publication Title  	City  	State  	Country  	Fiscal Year  	Open Access	Volume	Page Start	Page End	DOI	Notes
1	Ellis	Scott			"UCAR, NCAR, EOL, RSF"	UCAR Only	2009	Proceeding-Article	Ground clutter mitigation for S-band dual-polarimetric radars	Williamsburg 	VA 	USA 	2010	No					
	Hubbert	John			"UCAR, NCAR, EOL, RSF"	UCAR Only	2009	Proceeding-Article	Ground clutter mitigation for S-band dual-polarimetric radars	Williamsburg 	VA 	USA 	2010	No					
	Dixon	Michael 			"UCAR, NCAR, RAL"	UCAR Only	2009	Proceeding-Article	Ground clutter mitigation for S-band dual-polarimetric radars	Williamsburg 	VA 	USA 	2010	No					
	Meymaris 	Gregory			"UCAR, NCAR, RAL, AAP"	UCAR Only	2009	Proceeding-Article	Ground clutter mitigation for S-band dual-polarimetric radars	Williamsburg 	VA 	USA 	2010	No					
2	Brown 	William			"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	Wind profiles with an elastic backscatter Lidar using uto and cross correlation techniques 	St Petersburg 		RUS 	2010	No					
	Morley	Bruce			"UCAR, NCAR, EOL, RSF"	UCAR Only	2010	Proceeding-Article	Wind profiles with an elastic backscatter Lidar using uto and cross correlation techniques 	St Petersburg 		RUS 	2010	No					
	Spuler	Scott			"UCAR, NCAR, EOL, RSF"	UCAR Only	2010	Proceeding-Article	Wind profiles with an elastic backscatter Lidar using uto and cross correlation techniques 	St Petersburg 		RUS 	2010	No					
3	Young	Kate			"UCAR, NCAR, EOL, ISF"	UCAR Only	2009	Proceeding-Article	Consistent quality control on 13-year (1996-2008) high resolution GPS dropsonde data for hurricane research 	Delft 		NLD 	2010	No					
	Wang	Junhong			"UCAR, NCAR, EOL, ISF"	UCAR Only	2009	Proceeding-Article	Consistent quality control on 13-year (1996-2008) high resolution GPS dropsonde data for hurricane research 	Delft 		NLD 	2010	No					
	Arensdorf	Blake			"UCAR, NCAR, EOL, ISF"	UCAR Only	2009	Proceeding-Article	Consistent quality control on 13-year (1996-2008) high resolution GPS dropsonde data for hurricane research 	Delft 		NLD 	2010	No					
4	Oncley	Steve			"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	CentNet A deployable 100-station network for surface exchange research 	Atlanta 	GA 	USA 	2010	No					
	Semmer	Steven			"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	CentNet A deployable 100-station network for surface exchange research 	Atlanta 	GA 	USA 	2010	No					
	Horst	Thomas	W		"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	CentNet A deployable 100-station network for surface exchange research 	Atlanta 	GA 	USA 	2010	No					
	Militzer	John			"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	CentNet A deployable 100-station network for surface exchange research 	Atlanta 	GA 	USA 	2010	No					
	Maclean	Gordan			"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	CentNet A deployable 100-station network for surface exchange research 	Atlanta 	GA 	USA 	2010	No					
	Knudson	Kurt			"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	CentNet A deployable 100-station network for surface exchange research 	Atlanta 	GA 	USA 	2010	No					
	Golubieski	Chris			"UCAR, NCAR, EOL, ISF"	UCAR Only	2010	Proceeding-Article	CentNet A deployable 100-station network for surface exchange research 	Atlanta 	GA 	USA 	2010	No					
	Dong	Ling-Ling			"UCAR, NCAR, EOL CDS"	UCAR Only	2010	Proceeding-Article	CentNet A deployable 100-station network for surface exchange research 	Atlanta 	GA 	USA 	2010	No					
