ResearchID	ProtegeID	PaperTitle	Year
5	105	Characterization of Selected Boudary Layer Convergence Zones Observed in IHOP (2002) and REFRACTT (2006)	2007
6	122	Hurricane &Tropical Storm Impacts over the South Florida Metropolitan Area: mortality & government	2007
7	127	Investigation of the Global Atmospheric Oxidation Chemistry by Ozone - Non-methane Hydrocarbon Corelation Analysis	2007
8	137	"Climate influences on Harmful Algal Blooms (HABs) in Sequim Bay, Washington State"	2007
9	138	Implementing a C++ interface for netCDF-4	2007
10	140	Weather and the Built Environment	2007
11	141	Large-scale Tropical Circulations Induced by Heat Sources in Two Simple Models	2007
12	150	Utilizing COSMIC radio occultation soundings to estimate convective potentials over oceans	2007
13	156	"The Daily Cycle of Winds at Estacion Obispo, Mexico, during the North American Monsoon"	2007
14	173	The Effects of Purchasing Carbon Offsets on Net Household Carbon Emissions	2007
15	177	Imrpoving Data Quality when Sampling Oxygen-18 Isotopes in Atmospheric Carbon Dioxide	2007
16	195	Transport & Dispersion Model Sensitivity to Input Winds and Source Location	2007
17	201	"The Effect of CO2 Stabilization on Uptake Rates in Land and Ocean Sinks as a Function of Ocean Circulation, Vegetation Type, and CO2 Fertilization"	2007
18	202	Effects of Land Cover Characteristics on Urban Hydrological Systems- An Analysis for the Colorado Front Range	2007
19	211	Simulation of Hurricane-Ocean Interaction for Hurrican Katrina: Coupling WRF with a 1-D Ocean Model	2007
20	214	Using Radio Occultation Soudings to Study Mesoscale Convective Systems	2007
21	218	Interpretation of Return Levels under a Changing Climate	2007
22	221	Comparing Simulations to Observations of Photochemical Reactive Gaseous Pollutants Above and Downwind of Mexico City	2007
23	222	Atmospheric Measurements aboard C-130 During the Pacific Atmospheric Sulfur Experiment	2007
24	105	Radar andn Surface Measurements of Boundary Layer Convergence Zones	2006
25	127	Ozone dependency of the background current in ozonesondes	2006
26	130	A comparison of large-scale influences on tropical cyclogenesis in the Eastern Pacific	2006
27	134	GIS-based Radar Rainfall Verification	2006
28	137	Quasi-biennial oscillation (QBO) effect on the diurnal tide in the Whole Atmosphere Community Climate Model (WACCM)	2006
29	138	Developing a C++ interface for netCDF-4	2006
30	140	Characteristics of Sea Surface Temperatures (SSTs) between 23�C and 24�C West of the Galapagos Islands	2006
31	142	Observations and Assessment of Outer Rainband Tornadoes Spawned by Hurrican Katrina	2006
32	146	Statistical Methods for Quantifying Uncertainty in ENSO on Wind Power in the Northern Great Plains	2006
33	150	Comparison of CHAMP Radio Occultations with Global Model Forecasts: 2005 Hurricane Season	2006
34	161	The Modification of a Carbon Monoxide Instrument for Imrpoved Sensitivity	2006
35	165	Correlating Atmospheric Water Vapor and Hurricane Development	2006
36	167	The Impact of Magacities on the emission of NO2 using GOME SCIAMACHY data	2006
37	173	Assessing the Prospects for Employment in an Expansion of U.S. Aquaculture	2006
38	176	Sulfuric Acid in the Woods and a Connection to Aerosols	2006
39	191	Meteorological conditions of extreme dust events in the Chihuahuan desert region of the United States and Mexico	2006
40	195	Assessing the Precision of GPS Radio Occultation	2006
41	202	Understanding Local Wind Circulations over White Sands Missle Range	2006
42	211	Effect of the Gulf of Mexico's Mixed Layer Depth on Hurricane Intensity in the Warming Environment	2006
43	219	Analyzing Ozone Formation Sensitivities in the Mexico City Metropolitan Area	2006
44	103	A global analysis of atmospheric refrativity anomalies using CHAMP data	2005
45	110	Using CCSM3 to Simulate Climate Changes Caused by the 8.2ka Meltwater Pulse	2005
46	116	Synoptic analysis of 2000-2005 significant snowfall events on Mt. Kilimanjaro	2005
47	127	Stratosphere-Troposhere Exchange via cross-tropopause mixing in the extratropics	2005
48	130	Using GPS radio occultation data in the study of tropical cyclogenesis	2005
49	134	A Flash Flood Risk Assessment of the Colorado Front Range using GIS	2005
50	137	Enhancing Access to Climate Model Metadata via a Web-Accessible Database	2005
51	138	Creating a software tool to reuse existing decoders	2005
52	142	Water Vapor Estimates Using Simultaneous S and Ka Band Radar Measurements	2005
53	143	Investigating Airflow Effects on the Accuracy of Cloud Particle Measurements	2005
54	146	ENSO's Effect on the Wind Energy Production of South Dakota	2005
55	150	Characterizing Multipath Sources at Seismic Frquencies: A Case Study for the Parkfield GPS Array	2005
56	161	The Improvement of a Carbon Monoxide Instrument with Application to Tower Measurement of Verticle Flux	2005
57	173	Examining Climate Influences and Economic Impacts of Harmful Algal Blooms in Massachusetts: 1993 and 2005	2005
58	176	"Examining the Processes Occuring in Thunderstorms that Affect Soluble, Reactive Species (Chemical Resevoir Species)"	2005
59	186	Synthetic dual-Doppler analysis of 11 June 2003 MCV during BAMEX	2005
60	191	Characterization of dust storms sources in southwestern U.S. and northern Mexico using remote sensing imagery	2005
61	195	Lower Tropospheric Analysis of the Daily Cycle of the Wind for the East Coast of the Gulf of California during NAME 2004	2005
