Correct	Incorrect	Add to	Notes	Original Order
"14th Conference on Aviation, Range, and Aerospace Meteorology"	", 14th Conference on Aviation, Range and Aerospace Meteorology"			1
"14th Conference on Aviation, Range, and Aerospace Meteorology"	". Liu, J. Knievel, and G. Y. Jumper. Estimates of Cn2 from numerical weather prediction model output. Proceedings of the 14th Conference on Aviation, Range, and Aerospace Meteorology"			2
11th Annual WRF Users' Workshop	11th WRF User?s Workshop	OSGC-000-000-000-972	hand-searched	4
"14th Conference on Aviation, Range, and Aerospace Meteorology"	"14th Conference on Aviation, Range and Aerospace Meteorology"			5
"14th Conference on Aviation, Range, and Aerospace Meteorology"	"14th Symposium on Integrated Observing and Assimilation Systems for the Atmosphere, Oceans, and Land Surface"			7
"14th Symposium on Integrated Observing and Assimilation Systems for the Atmosphere, Oceans and Land Surface (IOAS-AOLS)"	"14th Symposium on Integrated Observing and Assimilation Systems for the Atmosphere, Oceans, and Land Surface"			48
"17th Conference on Air-Sea Interaction, 17th Conference on Satellite Meteorology and Oceanography, Ninth Conference on Coastal Atmospheric and Oceanic Prediction and Processes"	17th Conference on Satellite Meteorology and Oceanography			8
29th Conference on Agricultural and Forest Meteorology 19th Symposium on Boundary Layers and Turbulence Ninth Symposium on the Urban Environment	19th Symposium on Boundary Layers and Turbulence			9
U.S. EPA's 2010 National Air Quality Conference	"2010 National Air Quality Conferences: Air Quality Forecasting, Mapping, and Monitoring Communicating Air Quality"			10
Memorie della Societa Astronomica Italiana	"25th NSO Workshop ""Chromospheric Structure and Dynamics. From Old Wisdom to New Insights"", Memorie della Societa' Astronomica Italiana"			46
2nd AIAA Atmospheric and Space Environments Conference	2nd AIAA Atmospheric and Space Environment Conf			12
2nd AIAA Atmospheric and Space Environments Conference	2nd AIAA Atmospheric and Space Environment Conf.			13
Fifth International Symposium on Computational Wind Engineering	5th International Symposium on Computational Wind Engineering			14
Ninth Conference on Artificial Intelligence and its Applications to the Environmental Sciences	8th Conference on Artificial Intelligence Applications to Environmental Science			15
Ninth Conference on Artificial Intelligence and its Applications to the Environmental Sciences	8th Conference on Artificial Intelligence Applications to Environmental Science A Probabilistic Global Turbulence Nowcast and Forecast System			16
"2010 Ninth International Symposium on Distributed Computing and Applications to Business, Engineering and Science"	"9th International Symposium on Distributed Computing and Applications to Business, Engineeering and Science (DCABES)"			17
215th American Astronomical Society Meeting	"AAS Meeting #215, #424.15; Bulletin of the American Astronomical Society"			18
215th American Astronomical Society Meeting	"American Astronomical Society, AAS Meeting #215"			19
216th American Astronomical Society Meeting	"American Astronomical Society, AAS Meeting #216"			20
Fifth International Symposium on Computational Wind Engineering	Computational Wind Engineering			21
EGU General Assembly 2010	EGU-2010 Assembly			22
HDF and HDF-EOS Workshop XIV	HDFEOS Workshop XIV		added 11/26 per jamaica	
IAU Symposium 271: Astrophysical Dynamics - from Stars to Galaxies	"Proc. IAU Symposium 271, ""Astrophysical Dynamics, from Stars to Galaxies"	OSGC-000-000-000-790	hand-searched	23
Memorie della Societa Astronomica Italiana	Proceedings article for NSO Workshop #25			25
Memorie della Societa Astronomica Italiana	"Proceedings article for NSO Workshop #25 ""Chromospheric Structure and Dynamics"	OSGC-000-000-000-771	hand-searched	24
11th LCI International Conference on High-Performance Clustered Computing	Proceedings of the 11th LCI International Conference on High- Performance Clustered Computing			26
GCE '09 Proceedings of the 5th Grid Computing Environments Workshop 	Proceedings of the 5th Grid Computing Environments Workshop			47
