Value	UI Label	Place Name
AA	US - Armed Forces Americas	Armed Forces Americas
AB	CA - Alberta	Alberta
AC	BR - Acre	Acre
ACT	AU - Australian Capital Territory	Australian Capital Territory
AE	US - Armed Forces Middle East	Armed Forces Middle East
AG	IT - Agrigento	Agrigento
AGS	MX - Aguascalientes	Aguascalientes
AK	US - ALASKA	ALASKA
AL	US - ALABAMA	ALABAMA
AM	BR - Amazonas	Amazonas
AN	IT - Ancona	Ancona
AO	IT - Aosta / Aoste	Aosta / Aoste
AP	US - Armed Forces Pacific	Armed Forces Pacific
AQ	IT - L'Aquila	L'Aquila
AR	US - ARKANSAS	ARKANSAS
AS	US - AMERICAN SAMOA	AMERICAN SAMOA
AT	IT - Asti	Asti
AV	IT - Avellino	Avellino
AZ	US - ARIZONA	ARIZONA
Agra	IN - Agra District	Agra District
Ahme	IN - Ahmednagar District	Ahmednagar District
Aich	JP - Aichi	Aichi
Aiza	IN - Aizawl District	Aizawl District
Ajme	IN - Ajmer District	Ajmer District
Akit	JP - Akita	Akita
Akol	IN - Akola District	Akola District
Alap	IN - Alappuzha District	Alappuzha District
Alav	ES - Alava	Alava
Alba	ES - Albacate	Albacate
Alic	ES - Alicante	Alicante
Alig	IN - Aligarh District	Aligarh District
Alla	IN - Allahabad District	Allahabad District
Alme	ES - Almeria	Almeria
Almo	IN - Almora District	Almora District
Alwa	IN - Alwar District	Alwar District
Amar	IN - Amaravati District	Amaravati District
Amba	IN - Ambala District	Ambala District
Amri	IN - Amritsar District	Amritsar District
Anda	IN - Andaman and Nicobar Islands	Andaman and Nicobar Islands
Andh	IN - Andhra Pradesh	Andhra Pradesh
Anhu	CN - Anhui	Anhui
Aomo	JP - Aomori	Aomori
Arun	IN - Arunachal Pradesh	Arunachal Pradesh
Assa	IN - Assam	Assam
Auck	NZ - Auckland	Auckland
Avil	ES - Avila	Avila
BA	IT - Bari	Bari
BC	CA - British Columbia	British Columbia
BCN	MX - Baja California Norte	Baja California Norte
BCS	MX - Baja California Sur	Baja California Sur
BG	IT - Bergamo	Bergamo
BI	IT - Biella	Biella
BL	IT - Belluno	Belluno
BN	IT - Benevento	Benevento
BO	IT - Bologna	Bologna
BR	IT - Brindisi	Brindisi
BS	IT - Brescia	Brescia
BZ	IT - Bolzano / Bolzen	Bolzano / Bolzen
Bada	ES - Badajoz	Badajoz
Bagh	IN - Baghpat District	Baghpat District
Bala	IN - Balasore District	Balasore District
Balr	IN - Balram Pur District	Balram Pur District
Bang	IN - Bangalore Urban District	Bangalore Urban District
Bank	IN - Bankura District	Bankura District
Bara	IN - Baran District	Baran District
Barc	ES - Barcelona	Barcelona
Bard	IN - Barddhaman District	Barddhaman District
Bare	IN - Bareilly District	Bareilly District
Bay	NZ - Bay of Plenty	Bay of Plenty
Bedf	GB - Bedfordshire	Bedfordshire
Beij	CN - Beijing	Beijing
Belg	IN - Belgaum District	Belgaum District
Bell	IN - Bellary District	Bellary District
Berk	GB - Berkshire	Berkshire
Bhar	IN - Bharuch District	Bharuch District
Bhav	IN - Bhavnagar District	Bhavnagar District
Bhil	IN - Bhilwara District	Bhilwara District
Bhop	IN - Bhopal District	Bhopal District
Biha	IN - Bihar	Bihar
Bija	IN - Bijapur District	Bijapur District
Bijn	IN - Bijnor District	Bijnor District
Bika	IN - Bikaner District	Bikaner District
Boka	IN - Bokaro District	Bokaro District
Bord	GB - Borders	Borders
Buck	GB - Buckinghamshire	Buckinghamshire
Bund	IN - Bundi District	Bundi District
Burg	ES - Burgos	Burgos
CA	US - CALIFORNIA	CALIFORNIA
CAM	MX - Campeche	Campeche
CB	IT - Campobasso	Campobasso
CE	IT - Caserta	Caserta
CH	IT - Chieti	Chieti
CHIH	MX - Chihuahua	Chihuahua
CHIS	MX - Chiapas	Chiapas
CL	IT - Caltanisetta	Caltanisetta
CN	IT - Cuneo	Cuneo
CO	US - COLORADO	COLORADO
COAH	MX - Coahuila	Coahuila
COL	MX - Colima	Colima
CR	IT - Cremona	Cremona
CS	IT - Cosenza	Cosenza
CT	US - CONNECTICUT	CONNECTICUT
CZ	IT - Catanzaro	Catanzaro
Cace	ES - Caceres	Caceres
Cadi	ES - Cadiz	Cadiz
Calc	IN - Calcutta District	Calcutta District
Camb	GB - Cambridgeshire	Cambridgeshire
Cant	NZ - Canterbury	Canterbury
Carl	IE - Carlow	Carlow
Cast	ES - Castellon	Castellon
Cava	IE - Cavan	Cavan
Cavi	PH - Cavite	Cavite
Cebu	PH - Cebu	Cebu
Cent	GB - Central	Central
Chan	IN - Chandigarh	Chandigarh
Chat	NZ - Chatham Islands	Chatham Islands
Chen	IN - Chennai District	Chennai District
Ches	GB - Cheshire	Cheshire
Chha	IN - Chhattisgarh	Chhattisgarh
Chib	JP - Chiba	Chiba
Chid	IN - Chidambaranar District	Chidambaranar District
Chit	IN - Chittoor District	Chittoor District
Chon	CN - Chongqing	Chongqing
Chur	IN - Churachandpur District	Churachandpur District
Clar	IE - Clare	Clare
Clev	GB - Cleveland	Cleveland
Clwy	GB - Clwyd	Clwyd
Coim	IN - Coimbatore District	Coimbatore District
Conn	IE - Connemara	Connemara
Cork	IE - Cork	Cork
Corn	GB - Cornwall	Cornwall
Cots	GB - Cotswolds	Cotswolds
Coun	GB - County Tyrone	County Tyrone
Cuen	ES - Cuenca	Cuenca
Cumb	GB - Cumbria	Cumbria
Cutt	IN - Cuttack District	Cuttack District
DC	US - DISTRICT OF COLUMBIA	DISTRICT OF COLUMBIA
DE	US - DELAWARE	DELAWARE
DF	MX - Distrito Federal	Distrito Federal
DGO	MX - Durango	Durango
DR	NL - Drenthe	Drenthe
Dadr	IN - Dadra District	Dadra District
Daks	IN - Dakshina Kannada District	Dakshina Kannada District
Dama	IN - Daman and Diu	Daman and Diu
Darj	IN - Darjiling District	Darjiling District
Dava	PH - Davao del Sur	Davao del Sur
Dehr	IN - Dehradun District	Dehradun District
Delh	IN - Delhi	Delhi
Derb	GB - Derbyshire	Derbyshire
Devo	GB - Devon	Devon
Dewa	IN - Dewas District	Dewas District
Dhan	IN - Dhanbad District	Dhanbad District
Dhar	IN - Dharwad District	Dharwad District
Dind	IN - Dindigul-Anna District	Dindigul
Done	IE - Donegal	Donegal
Dors	GB - Dorset	Dorset
Dubl	IE - Dublin	Dublin
Dumf	GB - Dumfries and Galloway	Dumfries and Galloway
Dung	IN - Dungarpur District	Dungarpur District
Durh	GB - Durham	Durham
Dyfe	GB - Dyfed	Dyfed
EN	IT - Enna	Enna
ES	BR - Espirito Santo	Espirito Santo
East	IN - East Sikkim District	East Sikkim District
Ehim	JP - Ehime	Ehime
Erna	IN - Ernakulum District	Ernakulum District
Esse	GB - Essex	Essex
FE	IT - Ferrara	Ferrara
FG	IT - Foggia	Foggia
FI	IT - Firenze	Firenze
FL	US - FLORIDA	FLORIDA
FLD	NL - Flevopolder	Flevopolder
FM	US - FEDERATED STATES OF MICRONESIA	FEDERATED STATES OF MICRONESIA
FO	IT - Forlì	Forlì
FR	NL - Friesland	Friesland
Faiz	IN - Faizabad District	Faizabad District
Fari	IN - Faridabad District	Faridabad District
Fate	IN - Fatehgarh Sahib District	Fatehgarh Sahib District
Fife	GB - Fife	Fife
Fuji	CN - Fujian	Fujian
Fuku	JP - Fukushima	Fukushima
GA	US - GEORGIA	GEORGIA
GE	IT - Genova	Genova
GLD	NL - Gelderland	Gelderland
GN	NL - Groningen	Groningen
GO	IT - Gorizia	Gorizia
GR	IT - Grosseto	Grosseto
GRO	MX - Guerrero	Guerrero
GTO	MX - Guanajuato	Guanajuato
GU	US - GUAM	GUAM
Galw	IE - Galway	Galway
Gand	IN - Gandhinagar District	Gandhinagar District
Ganj	IN - Ganjam District	Ganjam District
Gans	CN - Gansu	Gansu
Gaut	IN - Gautam Budh Nagar District	Gautam Budh Nagar District
Gaya	IN - Gaya District	Gaya District
Ghaz	IN - Ghaziabad District	Ghaziabad District
Gifu	JP - Gifu	Gifu
Giro	ES - Girona	Girona
Gisb	NZ - Gisborne	Gisborne
Glou	GB - Gloucestershire	Gloucestershire
Goa	IN - Goa	Goa
Gora	IN - Gorakhpur District	Gorakhpur District
Gram	GB - Grampian	Grampian
Gran	ES - Granada	Granada
Grea	IN - Greater Mumbai District	Greater Mumbai District
Guad	ES - Guadalajara	Guadalajara
Guan	CN - Guangxi	Guangxi
Guip	ES - Guipuzcoa	Guipuzcoa
Guiz	CN - Guizhou	Guizhou
Guja	IN - Gujarat	Gujarat
Gulb	IN - Gulbarga District	Gulbarga District
Gunm	JP - Gunma	Gunma
Gunt	IN - Guntur District	Guntur District
Gurg	IN - Gurgaon District	Gurgaon District
Gwal	IN - Gwalior District	Gwalior District
Gwen	GB - Gwent	Gwent
Gwyn	GB - Gwynedd County	Gwynedd County
HGO	MX - Hidalgo	Hidalgo
HI	US - HAWAII	HAWAII
Hain	CN - Hainan	Hainan
Hamp	GB - Hampshire	Hampshire
Haor	IN - Haora District	Haora District
Hari	IN - Haridwar District	Haridwar District
Hary	IN - Haryana	Haryana
Hawk	NZ - Hawkes Bay	Hawkes Bay
Haza	IN - Hazaribag District	Hazaribag District
Hebe	CN - Hebei	Hebei
Heil	CN - Heilongjiang	Heilongjiang
Hena	CN - Henan	Henan
Here	GB - Herefordshire	Herefordshire
Hert	GB - Hertfordshire	Hertfordshire
