source (WOS journal) 2011	Existing OSM pubName	OSM pubName to Add
ADVANCES IN ATMOSPHERIC SCIENCES	Advances in Atmospheric Sciences	
AEROSOL SCIENCE AND TECHNOLOGY	Aerosol Science and Technology	
AGRICULTURAL AND FOREST METEOROLOGY	Agricultural and Forest Meteorology	
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	American Journal of Agricultural Economics	American Journal of Agricultural Economics
ANNALES GEOPHYSICAE	Annales Geophysicae	
ANNALS OF GLACIOLOGY	Annals of Glaciology	
"ANNUAL REVIEW OF FLUID MECHANICS, VOL 43"	Annual Review of Fluid Mechanics	
APPLIED OPTICS	Applied Optics	
ASIA-PACIFIC JOURNAL OF ATMOSPHERIC SCIENCES	Asia-pacific Journal of Atmospheric Sciences	
ASTRONOMISCHE NACHRICHTEN	Astronomische Nachrichten	
ASTRONOMY & ASTROPHYSICS	Astronomy and Astrophysics	
ASTROPHYSICAL JOURNAL	The Astrophysical Journal	
ASTROPHYSICAL JOURNAL LETTERS	The Astrophysical Journal Letters	
ATMOSPHERIC CHEMISTRY AND PHYSICS	Atmospheric Chemistry and Physics	
ATMOSPHERIC ENVIRONMENT	Atmospheric Environment	
ATMOSPHERIC MEASUREMENT TECHNIQUES	Atmospheric Measurement Techniques	
ATMOSPHERIC RESEARCH	Atmospheric Research	
ATMOSPHERIC SCIENCE LETTERS	Atmospheric Science Letters	
BIOFUTUR	Biofutur	Biofutur
BIOGEOSCIENCES	Biogeosciences	
BOUNDARY-LAYER METEOROLOGY	Boundary-Layer Meteorolog	
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	Bulletin of the American Meteorological Society	
CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION	Cancer Epidemiology Biomarkers &amp; Prevention	
CHEMPHYSCHEM	Chemphyschem	
CHINESE SCIENCE BULLETIN	Chinese Science Bulletin	
CLIMATE RESEARCH	Climate Research	
CLIMATE DYNAMICS	Climate Dynamics	
COMPUTATIONAL STATISTICS & DATA ANALYSIS	Computational Statistics &amp; Data Analysis	
COMPUTERS & FLUIDS	Computers &amp; Fluids	
COMPUTERS & GEOSCIENCES	Computers &amp; Geosciences	
CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY	Current Opinion in Environmental Sustainability	
DISEASES OF AQUATIC ORGANISMS	Diseases of Aquatic Organisms	Diseases of Aquatic Organisms
EARTH AND PLANETARY SCIENCE LETTERS	Earth and Planetary Science Letters	
ECOLOGICAL ECONOMICS	Ecological Economics	
ECONOMICS LETTERS	Economics Letters	
ELECTROCHIMICA ACTA	Electrochimica Acta	Electrochimica Acta
ENVIRONMENTAL HEALTH PERSPECTIVES	Environmental Health Perspectives	
ENVIRONMENTAL RESEARCH LETTERS	Environmental Research Letters	
ENVIRONMENTAL SCIENCE & TECHNOLOGY	Environmental Science &amp; Technology	
EPIDEMIOLOGY	Epidemiology	Epidemiology
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT	Frontiers in Ecology and the Environment	
GEOMORPHOLOGY	Geomorphology	
GEOPHYSICAL JOURNAL INTERNATIONAL	Geophysical Journal International	Geophysical Journal International
GEOPHYSICAL RESEARCH LETTERS	Geophysical Research Letters	
GEOSCIENTIFIC MODEL DEVELOPMENT	Geoscientific Model Development	
GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS	Global Environmental Change: Human and Policy Dimensions	
HEALTH & PLACE	Health and Place	
HUMAN ECOLOGY	Human Ecology	Human Ecology
HYDROLOGICAL PROCESSES	Hydrological Processes	
HYDROLOGY RESEARCH	Hydrology Research	Hydrology Research
ICARUS	ICARUS:International Journal of Solar System Studies	
IEEE TRANSACTIONS ON DEPENDABLE AND SECURE COMPUTING	IEEE Transactions on Dependable and Secure Computing	IEEE Transactions on Dependable and Secure Computing
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS	IEEE Transactions on Parallel and Distribute Systems	IEEE Transactions on Parallel and Distribute Systems
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL	In Vitro Cellular &amp; Developmental Biology - Animal	In Vitro Cellular &amp; Developmental Biology - Animal
INTERNATIONAL JOURNAL OF CLIMATOLOGY	International Journal of Climatology	
JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY	Journal of Applied Meteorology and Climatology	
JOURNAL OF ARID ENVIRONMENTS	Journal of Arid Environments	
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	Journal of Atmospheric and Oceanic Technology	
JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS	Journal of Atmospheric and Solar-terrestrial Physics	
JOURNAL OF CLIMATE	Journal of Climate	
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS	Journal of Computational and Graphical Statistics	
JOURNAL OF COMPUTATIONAL PHYSICS	Journal of Computational Physics	
JOURNAL OF FLUID MECHANICS	Journal of Fluid Mechanics	
JOURNAL OF FLUIDS ENGINEERING-TRANSACTIONS OF THE ASME	Journal of Fluids Engineering-transactions of the Asme	
JOURNAL OF FORESTRY	Journal of Forestry	Journal of Forestry
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES	Journal of Geophysical Research-Atmospheres	
