wos id	Author	author full name	group authors	title	source	book series	conference title	conference date	conference location	sponsor	host	DE	ID	abstract	issn	isbn	published month-day	published year	volume	issue	part	supplement	special issue	beginning page	ending page	article number	doi
WOS:000285837600001	"Jordan, NS; Hoff, RM; Bacmeister, JT"	"Jordan, Nikisa S.; Hoff, Raymond M.; Bacmeister, Julio T."		Validation of Goddard Earth Observing System-version 5 MERRA planetary boundary layer heights using CALIPSO	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES									"This study compares the planetary boundary layer (PBL) height produced by the Goddard Earth Observing System-version 5 (GEOS-5) model with Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observations (CALIPSO). Part of GEOS-5 is an Atmosphere Global Circulation Model (GCM) used by National Aeronautics and Space Administration. Model developers are uncertain of the precision of model PBL height predictions since verification by direct observations of the PBL height is sparse. Validation of the PBL height serves as a diagnostic on whether the physics and dynamics packages are correct in the model. In this work, we report the global daytime PBL heights derived from dissertation work by Jordan (2009). We believe that this is the first large-scale observational study of PBL heights using CALIPSO. In this paper, we compare CALIPSO PBL heights to matched PBL heights from the GEOS-5 Modern Era Reanalysis for Research and Applications (MERRA) model. Extensive comparisons between the model output and satellite observations in the Western Hemisphere and over Africa gave model-measurement correlation coefficients (R) of 0.47-0.73. Comparisons have been performed for regions over land and water using clouds, aerosols, and mixed cloud-aerosol features to detect the PBL. The present study provides insight of regional PBL height variances in the GEOS-5 model. For much of the study region GEOS-5 predicts PBL heights within 25% of CALIPSO observations. A case over the Equatorial Pacific indicates that the GEOS-5/CALIPSO PBL height ratios exceed 1.25. PBL height biases in the Equatorial Pacific may be related to the GCM coupling scheme implemented in GEOS-5. Also, in some regions, the CALIPSO PBL heights are generally higher than the GEOS-5 model."	0148-0227		DEC 31	2010	115							D24218	10.1029/2009JD013777
WOS:000285837200003	"Wee, TK; Kuo, YH; Lee, DK"	"Wee, Tae-Kwon; Kuo, Ying-Hwa; Lee, Dong-Kyou"		Development of a curved ray tracing method for modeling of phase paths from GPS radio occultation: A two-dimensional study	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES									"A two-dimensional curved ray tracer (CRT) is developed to study the propagation path of radio signals across a heterogeneous planetary atmosphere. The method, designed to achieve improvements in both computational efficiency and accuracy over conventional straight-line methods, takes rays' first-order bending into account to better describe curved raypaths in the stratified atmosphere. CRT is then used to simulate the phase path from GPS radio occultation (RO). The merit of the ray tracing approach in GPS RO is explicit consideration of horizontal variation in the atmosphere, which may lead to a sizable error but is disregarded in traditional retrieval schemes. In addition, direct modeling of the phase path takes advantage of simple error characteristics in the measurement. With provision of ionospheric and neutral atmospheric refractive indices, in this effort, rays are traced along the full range of GPS-low Earth orbiting (LEO) radio links just as the measurements are made in real life. Here, ray shooting is employed to realize the observed radio links with controlled accuracy. CRT largely reproduces the very measured characteristics of GPS signals. When compared, the measured and simulated phases show remarkable agreement. The cross validation between CRT and GPS RO has confirmed not only the strength of CRT but also the high accuracy of GPS RO measurements. The primary motivation for this study is enabling effective quality control for GPS RO data, overcoming a complicated error structure in the high-level data. CRT has also shown a great deal of potential for improved utilization of GPS RO data for geophysical research."	0148-0227		DEC 29	2010	115							D24119	10.1029/2010JD014419
WOS:000285839700001	"Ross, M; Mills, M; Toohey, D"	"Ross, Martin; Mills, Michael; Toohey, Darin"		Potential climate impact of black carbon emitted by rockets	GEOPHYSICAL RESEARCH LETTERS									"A new type of hydrocarbon rocket engine is expected to power a fleet of suborbital rockets for commercial and scientific purposes in coming decades. A global climate model predicts that emissions from a fleet of 1000 launches per year of suborbital rockets would create a persistent layer of black carbon particles in the northern stratosphere that could cause potentially significant changes in the global atmospheric circulation and distributions of ozone and temperature. Tropical stratospheric ozone abundances are predicted to change as much as 1%, while polar ozone changes by up to 6%. Polar surface temperatures change as much as one degree K regionally with significant impacts on polar sea ice fractions. After one decade of continuous launches, globally averaged radiative forcing from the black carbon would exceed the forcing from the emitted CO(2) by a factor of about 10(5) and would be comparable to the radiative forcing estimated from current subsonic aviation. "	0094-8276		DEC 28	2010	37							L24810	10.1029/2010GL044548
WOS:000285642000006	"Oman, LD; Plummer, DA; Waugh, DW; Austin, J; Scinocca, JF; Douglass, AR; Salawitch, RJ; Canty, T; Akiyoshi, H; Bekki, S; Braesicke, P; Butchart, N; Chipperfield, MP; Cugnet, D; Dhomse, S; Eyring, V; Frith, S; Hardiman, SC; Kinnison, DE; Lamarque, JF; Mancini, E; Marchand, M; Michou, M; Morgenstern, O; Nakamura, T; Nielsen, JE; Olivie, D; Pitari, G; Pyle, J; Rozanov, E; Shepherd, TG; Shibata, K; Stolarski, RS; Teyssedre, H; Tian, W; Yamashita, Y; Ziemke, JR"	"Oman, L. D.; Plummer, D. A.; Waugh, D. W.; Austin, J.; Scinocca, J. F.; Douglass, A. R.; Salawitch, R. J.; Canty, T.; Akiyoshi, H.; Bekki, S.; Braesicke, P.; Butchart, N.; Chipperfield, M. P.; Cugnet, D.; Dhomse, S.; Eyring, V.; Frith, S.; Hardiman, S. C.; Kinnison, D. E.; Lamarque, J. -F.; Mancini, E.; Marchand, M.; Michou, M.; Morgenstern, O.; Nakamura, T.; Nielsen, J. E.; Olivie, D.; Pitari, G.; Pyle, J.; Rozanov, E.; Shepherd, T. G.; Shibata, K.; Stolarski, R. S.; Teyssedre, H.; Tian, W.; Yamashita, Y.; Ziemke, J. R."		Multimodel assessment of the factors driving stratospheric ozone evolution over the 21st century	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES									"The evolution of stratospheric ozone from 1960 to 2100 is examined in simulations from 14 chemistry-climate models, driven by prescribed levels of halogens and greenhouse gases. There is general agreement among the models that total column ozone reached a minimum around year 2000 at all latitudes, projected to be followed by an increase over the first half of the 21st century. In the second half of the 21st century, ozone is projected to continue increasing, level off, or even decrease depending on the latitude. Separation into partial columns above and below 20 hPa reveals that these latitudinal differences are almost completely caused by differences in the model projections of ozone in the lower stratosphere. At all latitudes, upper stratospheric ozone increases throughout the 21st century and is projected to return to 1960 levels well before the end of the century, although there is a spread among models in the dates that ozone returns to specific historical values. We find decreasing halogens and declining upper atmospheric temperatures, driven by increasing greenhouse gases, contribute almost equally to increases in upper stratospheric ozone. In the tropical lower stratosphere, an increase in upwelling causes a steady decrease in ozone through the 21st century, and total column ozone does not return to 1960 levels in most of the models. In contrast, lower stratospheric and total column ozone in middle and high latitudes increases during the 21st century, returning to 1960 levels well before the end of the century in most models."	0148-0227		DEC 21	2010	115							D24306	10.1029/2010JD014362
WOS:000285642000008	"Stephens, GL; L'Ecuyer, T; Forbes, R; Gettlemen, A; Golaz, JC; Bodas-Salcedo, A; Suzuki, K; Gabriel, P; Haynes, J"	"Stephens, Graeme L.; L'Ecuyer, Tristan; Forbes, Richard; Gettlemen, Andrew; Golaz, Jean-Christophe; Bodas-Salcedo, Alejandro; Suzuki, Kentaroh; Gabriel, Philip; Haynes, John"		Dreary state of precipitation in global models	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES									"New, definitive measures of precipitation frequency provided by CloudSat are used to assess the realism of global model precipitation. The character of liquid precipitation (defined as a combination of accumulation, frequency, and intensity) over the global oceans is significantly different from the character of liquid precipitation produced by global weather and climate models. Five different models are used in this comparison representing state-of-the-art weather prediction models, state-of-the-art climate models, and the emerging high-resolution global cloud ""resolving"" models. The differences between observed and modeled precipitation are larger than can be explained by observational retrieval errors or by the inherent sampling differences between observations and models. We show that the time integrated accumulations of precipitation produced by models closely match observations when globally composited. However, these models produce precipitation approximately twice as often as that observed and make rainfall far too lightly. This finding reinforces similar findings from other studies based on surface accumulated rainfall measurements. The implications of this dreary state of model depiction of the real world are discussed."	0148-0227		DEC 21	2010	115							D24211	10.1029/2010JD014532
WOS:000285584200106	"Weibring, P; Richter, D; Walega, JG; Rippe, L; Fried, A"	"Weibring, Petter; Richter, Dirk; Walega, J. G.; Rippe, Lars; Fried, Alan"		Difference frequency generation spectrometer for simultaneous multispecies detection	OPTICS EXPRESS									"A difference-frequency generation based spectrometer system for simultaneous ultra-sensitive measurements of formaldehyde (CH(2)O) and Methane (CH(4)) is presented. A new multiplexing approach using collinear quasi-phase-matching in a single grating period of periodically poled lithium niobate (PPLN) is discussed and demonstrated for two pairs of pump and signal lasers to generate mid-infrared frequencies at 2831.64 cm(-1) and 2916.32 cm(-1), respectively. The corresponding absorption signals are discriminated by modulating the DFB diode lasers at modulation frequencies of 40 kHz and 50 kHz, respectively, and using a computer based modulation and de-modulation scheme. In addition, simultaneous measurements of CH(2)O, CH(4) and H(2)O are demonstrated utilizing both collinear and non-collinear quasi-phase-matching. (C) 2010 Optical Society of America"	1094-4087		DEC 20	2010	18	26				27670	27681		10.1364/OE.18.027670
WOS:000285258100008	"Schobesberger, S; Winkler, PM; Pinterich, T; Vrtala, A; Kulmala, M; Wagner, PE"	"Schobesberger, Siegfried; Winkler, Paul M.; Pinterich, Tamara; Vrtala, Aron; Kulmala, Markku; Wagner, Paul E."		Experiments on the temperature dependence of heterogeneous nucleation on nanometer-sized NaCl and Ag Particles	CHEMPHYSCHEM									"Experimental investigations on the activation of NaCl and Ag aerosol particles by heterogeneous nucleation of n-propanol vapor at well-defined vapor saturation ratios are presented. Particular emphasis is placed on the temperature dependence of this process from -11 to + 14 degrees C. Aerosols are generated in a tube furnace and electrostatically classified at mean geometric mobility equivalent diameters between 3.6 and 11 nm. Activation probabilities are measured by means of expansion chamber experiments, and onset n-propanol saturation ratios are subsequently determined. The experiments with Ag particles do not produce any unexpected results. The results for NaCl particles, however, show a temperature trend of the onset saturation ratios that is opposite to that predicted by classical nucleation theory. This stresses the important role that surface properties play in heterogeneous nucleation processes. By tentatively assuming a temperature-dependent contact angle, we are able to theoretically reproduce this reversed temperature trend. In addition, the shrinkage of NaCl condensation particles is investigated for varying amounts of n-propanol vapor, and contact angle measurements are performed at temperatures ranging from -7 to + 30 degrees C."	1439-4235		DEC 17	2010	11	18			SI	3874	3882		10.1002/cphc.201000417
WOS:000285463100006	"Barthe, C; Deierling, W; Barth, MC"	"Barthe, Christelle; Deierling, Wiebke; Barth, Mary C."		Estimation of total lightning from various storm parameters: A cloud-resolving model study	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES									"Because explicit prediction of the electrical activity in storms is computationally expensive and the processes are still poorly understood, an attractive way to predict lightning flash rates in numerical models is to rely on correlations between the flash rate and available model parameters. Predicted flash rates can be used for applications such as the parameterization to infer lightning-produced nitrogen oxides. In this study, the potential for six model parameters (precipitation ice mass, ice water path, ice mass flux product, updraft volume, maximum vertical velocity, and cloud top height) to predict lightning rate has been investigated in a cloud-resolving model framework. The Weather Research and Forecasting model (WRF) is used to simulate two different storms: the 10 July 1996 severe storm that occurred over the High Plains and the 13 July 2005 airmass thunderstorm near Huntsville, Alabama. It is shown that the WRF model reproduces the structure of the two storms. Results show that the maximum updraft velocity gives a good flash rate proxy for the severe storm. The ice mass flux product and precipitation ice mass can reproduce the flash rate trend but not the magnitude. The flash rate estimated from the cloud top height does not match the observed flash rate trend and value of the severe storm, but is in good agreement for the airmass thunderstorm. The ice water path predicts flash rate fairly well for the severe storm, but overpredicts it for the airmass thunderstorm. The updraft volume predicts flash rate poorly for both storms."	0148-0227		DEC 16	2010	115							D24202	10.1029/2010JD014405
WOS:000285344600045	"Amstrup, SC; DeWeaver, ET; Douglas, DC; Marcot, BG; Durner, GM; Bitz, CM; Bailey, DA"	"Amstrup, Steven C.; DeWeaver, Eric T.; Douglas, David C.; Marcot, Bruce G.; Durner, George M.; Bitz, Cecilia M.; Bailey, David A."		Greenhouse gas mitigation can reduce sea-ice loss and increase polar bear persistence	NATURE									"On the basis of projected losses of their essential sea-ice habitats, a United States Geological Survey research team concluded in 2007 that two-thirds of the world's polar bears (Ursus maritimus) could disappear by mid-century if business-as-usual greenhouse gas emissions continue(1-3). That projection, however, did not consider the possible benefits of greenhouse gas mitigation. A key question is whether temperature increases lead to proportional losses of sea-ice habitat, or whether sea-ice cover crosses a tipping point and irreversibly collapses when temperature reaches a critical threshold(4-6). Such a tipping point would mean future greenhouse gas mitigation would confer no conservation benefits to polar bears. Here we show, using a general circulation model(7), that substantially more sea-ice habitat would be retained if greenhouse gas rise is mitigated. We also show, with Bayesian network model outcomes, that increased habitat retention under greenhouse gas mitigation means that polar bears could persist throughout the century in greater numbers and more areas than in the business-as-usual case(3). Our general circulation model outcomes did not reveal thresholds leading to irreversible loss of ice(6); instead, a linear relationship between global mean surface air temperature and sea-ice habitat substantiated the hypothesis that sea-ice thermodynamics can overcome albedo feedbacks proposed to cause sea-ice tipping points(5,6,8). Our outcomes indicate that rapid summer ice losses in models(9) and observations(6,10) represent increased volatility of a thinning sea-ice cover, rather than tipping-point behaviour. Mitigation-driven Bayesian network outcomes show that previously predicted declines in polar bear distribution and numbers(3) are not unavoidable. Because polar bears are sentinels of the Arctic marine ecosystem(11) and trends in their sea-ice habitats foreshadow future global changes, mitigating greenhouse gas emissions to improve polar bear status would have conservation benefits throughout and beyond the Arctic(12)."	0028-0836		DEC 16	2010	468	7326				955	U351		10.1038/nature09653
WOS:000285469400005	"Farr, NL; Baker, DN; Wiltberger, M"	"Farr, N. L.; Baker, D. N.; Wiltberger, M."		Using a global magnetohydrodynamic model to study the start of the substorm recovery phase	JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS									"Magnetospheric substorms are a key manifestation of the transfer of energy from the solar wind to the Earth. Substorms consist of a loading of energy from the solar wind via magnetic reconnection and then a rapid release of that energy. One of the results of this energy release is the intense brightening of the aurora observed in the Earth's high-latitude regions. At some point, the dissipation of energy peaks and the system recovers. This paper focuses on addressing the question of what causes the transition to the recovery phase of the substorm typically defined by the retreat of the substorm magnetic reconnection site, or neutral line, in the magnetotail. One suggested hypothesis is that the expansion of the dipolarization of the magnetic field in the inner magnetosphere causes the neutral line to move tailward. We use the Lyon-Fedder-Mobarry magnetohydrodynamic code to model seven substorms to examine what causes the neutral line retreat in the simulation. We conclude that while the simulation reproduces the substorms with the loading and unloading of energy, the retreat of the neutral line is a directly driven process that is controlled by the solar wind."	0148-0227		DEC 16	2010	115							A12237	10.1029/2010JA015802
