title	pubName	volume	issue	pageSpan	pages	doi	confidence	classification	status	recId	fiscalDate	authors
Seasonal variation of the Hough modes of the diurnal component of ozone heating evaluated from Aura Microwave Limb Sounder observations	Journal of Geophysical Research - Atmospheres	115				10.1029/2009JD013179	80 - name match	Refereed	Published	OSGC-000-000-000-908	2010	Xu, J., Smith, A. K., Jiang, G., Yuan, W.
SABER observations of mesospheric ozone during NH late winter 2002-2009	Geophysical Research Letters	36				10.1029/2009GL040942	80 - name match	Refereed	Published	OSGC-000-000-000-896	2010	Smith, A. K., López-Puertas, M., García-Comas, M., Tukiainen, S.
Temporal variations of atomic oxygen in the upper mesosphere from SABER	Journal of Geophysical Research - Atmospheres	115				10.1029/2009JD013434	80 - name match	Refereed	Published	OSGC-000-000-000-894	2010	Smith, A. K., Marsh, D., Mlynczak, M. G., Mast, J. C.
Simulations of the response of the mesospheric circulation and temperature to the Antarctic ozone hole	Geophysical Research Letters	37				10.1029/2010GL045255	80 - name match	Refereed	Published	OSGC-000-000-000-895	2011	Smith, A. K., Garcia, R. R., Marsh, D. R., Kinnison, D. E., Richter, J. H.
The effect of advanced satellite products on an icing nowcasting system	14th Conference on Aviation, Range, and Aerospace Meteorology						20 - match on last name only	Non-refereed	Published	OSGC-000-000-000-859	2010	Haggerty, J., Makowski, C. A., McDonough, F., Black, J., Minnis, P., Smith, W.
Downscaling extremes: A comparison of extreme value distributions in point-source and gridded precipitation data	Annals of Applied Statistics	4	1	484-502		10.1214/09-AOAS287	20 - match on last name only	Refereed	Published	OSGC-000-000-000-384	2010	Mannshardt-Shamseldin, E. C., Gentile, S., Smith, R. L., Sain, S. R., Mearns, L. O., Cooley, D.
Spatio-temporal models for large-scale indicators of extreme weather	Environmetrics						20 - match on last name only	Refereed	Accepted	OSGC-000-000-001-008	2011	Heaton, M. J., Makowski, C. A., Katzfuss, M., Ramachandar, S., Pedings, K., Gilleland, E., Mannshardt, s. E., Smith, R. L.
Ion mobility distributions during the initial stages of new particle formation by the ozonolysis of α-pinene	Environmental Science & Technology	44	23	8917-8923		10.1021/es101572u	unkown	Refereed	Published	OSGC-000-000-001-542	2011	Viitanen, A., Jackson, J., Saukko, E., Virtanen, A., Yli-Pirilä, P., Smith, J. N., Joutsensaari, J., Mäkelä, J. M.
Observations of aminium salts in atmospheric nanoparticles and possible climatic implications	Proceedings of the National Academy of Sciences (PNAS)	107	15	6634-6639		10.1073/pnas.0912127107	unkown	Refereed	Published	OSGC-000-000-000-202	2010	Smith, J. N., Jackson, J., Barsanti, K. C., Friedli, H., Ehn, M., Kulmala, M., Collins, D. R., Scheckman, J. H., Williams, B. J., McMurry, P. H.
Strong longitudinal variations in the OH nightglow	Geophysical Research Letters	37				10.1029/2010GL043972	100- upid match	Refereed	Published	OSGC-000-000-001-537	2011	Xu, J., Jackson, J., Smith, A. K., Jiang, G., Gao, H., Wei, Y., Mlynczak, M. G., Russell, J. M.
