firstName	nickname	middleName	lastName	upid	mmm_type
David			Ahijevych	7505	associate
Thomas			Auligne	986	scientist
Aaron			Bansemer	11806	associate
Judith			Berner	15593	scientist
Jim			Bresch		scientist
Cindy			Bruyere	10539	associate
George			Bryan	3008	scientist
Sean			Burns	13145	associate
Ming			Chen	16041	associate
Janice			Coen	15036	scientist
Christopher			Davis	8754	scientist
James			Done	12429	scientist
Jimy			Dudhia	7309	scientist
Laura			Fowler	1561	scientist
Wojciech			Grabowski	6983	scientist
Yong-Run			Guo	12415	associate
So-Young			Ha	13117	associate
Andrew			Heymsfield	1868	scientist
Greg			Holland	7820	scientist
X			Huang	5455	scientist
Joseph			Klemp	3315	scientist
Charles			Knight	13467	scientist
Ying-Hwa			Kuo	9459	scientist
Hui-Chuan			Lin	7893	associate
Zhiquan			Liu	6957	scientist
Kevin			Manning	1887	associate
Arthur			Mizzi	10861	scientist
Chin-Hoh			Moeng	7783	scientist
Hugh			Morrison	8415	scientist
Rebecca			Morss	8809	scientist
Edward			Patton	10353	scientist
Jordan			Powers	8592	scientist
Syed			Rizvi	561	associate
Glen			Romine	16205	scientist
Richard			Rotunno	5197	scientist
Carl			Schmitt	12548	associate
Craig			Schwartz	16320	associate
William			Skamarock	9848	scientist
Piotr			Smolarkiewicz	4291	scientist
Chris			Snyder	9671	scientist
Peter			Sullivan	2064	scientist
Jielun			Sun	4458	scientist
Juanzhen	Jenny		Sun	6881	scientist
Stan			Trier	7110	scientist
Wei			Wang	3581	associate
Morris			Weisman	3318	scientist
Zhuming			Ying	4472	associate
Xiaoyan			Zhang	4748	associate
