recId	dcsstatus	resourceType	Fiscal	Published	Accepted	Created	Digitized	In press	Modified	Reviewer assigned	Submitted
OSGC-000-000-000-599	Final		2009	2009-06-01							
OSGC-000-000-000-682	Final		2010	2010-01-12							
OSGC-000-000-000-403	Final		2010	2010-07-01							
OSGC-000-000-000-358	Final		2010	2010-05-01							
OSGC-000-000-000-536	Final		2010	2009-12-01							
OSGC-000-000-000-908	Final		2010	2010-05-26							
OSGC-000-000-000-759	Final		2010	2009-12-01							
OSGC-000-000-000-542	Final		2010	2009-12-01							
OSGC-000-000-000-660	Final		2010	2010-06-14							
OSGC-000-000-000-515	Final		2010	2010-09-15							
OSGC-000-000-000-262	Final		2010	2010-07-02							
OSGC-000-000-001-008	Final		2011		2010-10-30						
OSGC-000-000-000-042	Final		2009	2009-04							
OSGC-000-000-000-611	Final		2010	2009-12-01							
OSGC-000-000-000-031	Final		2009	2009-01-21							
OSGC-000-000-000-939	Final		2010	2010-02-25							
OSGC-000-000-001-095	Final		2010	2010-01-08							
OSGC-000-000-000-303	Final		2010	2009-12-01							
OSGC-000-000-000-090	Final		2010	2010-06-24							
OSGC-000-000-000-846	Final		2010	2010-02-01							
OSGC-000-000-000-131	Final		2010	2010-03-27							
OSGC-000-000-000-553	Final		2010	2010-01-01							
OSGC-000-000-001-287	Final		1995	1995-07-01							
OSGC-000-000-000-313	Final		2010	2010-03-22							
OSGC-000-000-000-726	Final		2010	2010-02-01							
OSGC-000-000-000-609	Final		2010	2010-02-01							
OSGC-000-000-000-220	Final		2010	2010-07-30							
OSGC-000-000-000-442	Final		2010	2010-09-30							
OSGC-000-000-000-761	Final		2010	2010-03-23							
OSGC-000-000-000-145	Final		2010	2010-01-15							
OSGC-000-000-000-119	Final		2010	2009-12-31							
OSGC-000-000-000-937	Final		2009	2009-08-12							
OSGC-000-000-000-561	Final		2010	2010-07-01							
OSGC-000-000-000-830	Final		2010	2010-01-12							
OSGC-000-000-000-308	Final		2009	2009-05-01							
OSGC-000-000-000-649	Final		2009	2009-09-22							
OSGC-000-000-001-206	Final		2010	2010-05-01							
OSGC-000-000-000-008	Final		2009	2008-12							
OSGC-000-000-000-479	Final		2010	2010-04-01							
OSGC-000-000-000-287	Final		2010	2009-10-01							
OSGC-000-000-000-021	Final		2009	2008-12-27							
OSGC-000-000-000-065	Final		2009	2008-01							
OSGC-000-000-000-212	Final		2010	2010-06-17							
OSGC-000-000-000-519	Final		2011	2010-10-11							
OSGC-000-000-000-450	Final		2010	2010-07-01							
OSGC-000-000-000-188	Final		2010	2010-02							
OSGC-000-000-000-693	Final		2009	2009-08-03							
OSGC-000-000-000-922	Final		2010	2009-12-01							
OSGC-000-000-000-927	Final		2010	2009-12-01							
OSGC-000-000-000-709	Final		2010	2010-05-11							
OSGC-000-000-000-191	Final		2010	2010-04							
OSGC-000-000-000-934	Final		2010	2009-12-01							
OSGC-000-000-000-753	Final		2010	2010-03-01							
OSGC-000-000-000-158	Final		2010	2010-01-10							
OSGC-000-000-000-296	Final		2010	2010-07-29							
OSGC-000-000-000-580	Final		2010	2010-03-10							
OSGC-000-000-001-079	Final		2010	2010-04-01							
OSGC-000-000-001-066	Final		2011								2010-10-31
OSGC-000-000-000-022	Final		2008	2008-09-03							
OSGC-000-000-000-921	Final		2010	2010-09-01							
OSGC-000-000-000-036	Final		2008	2008-03-17							
OSGC-000-000-000-685	Final		2010	2010-06-29							
OSGC-000-000-000-614	Final		2010	2009-10-01							
OSGC-000-000-000-905	Final		2009	2009-09-01							
OSGC-000-000-000-165	Final		2010	2010-03-01							
OSGC-000-000-001-157	Final		2010	2010-07-01							
OSGC-000-000-000-400	Final		2010	2010-06-01, 2010							
OSGC-000-000-000-152	Final		2010	2010-02-06							
OSGC-000-000-000-253	Final		2010	2010-05-18							
OSGC-000-000-000-136	Final		2010	2010-07-01							
OSGC-000-000-001-208	Final		2009	2008-11-21							
OSGC-000-000-000-070	Final		2008	2008-09-01							
OSGC-000-000-000-362	Final		2010	2010-02-01							
OSGC-000-000-000-577	Final		2010	2010-07-09							
OSGC-000-000-000-030	Final		2009	2009-02-05							
OSGC-000-000-001-281	Final		2002	2002-05-22							
OSGC-000-000-000-372	Final		2011	2010-10-01							
OSGC-000-000-000-681	Final		2010	2010-05-18							
OSGC-000-000-000-529	Final		2010	2009-12-01							
OSGC-000-000-001-389	Final		2009	2008-11-04							
OSGC-000-000-000-903	Final		2010	2010-07-01							
OSGC-000-000-000-667	Final		2010	2010-07-28							
OSGC-000-000-000-805	Final		2010	2009-12-01							
OSGC-000-000-000-172	Final		2010	2010-03-01							
OSGC-000-000-000-565	Final		2010	2010-07-01							
OSGC-000-000-000-068	Final		2009	2008-12							
OSGC-000-000-000-112	Final		2010	2010-04							
OSGC-000-000-000-635	Final		2011	2010-10-26							
OSGC-000-000-000-376	Final		2010	2010-08-01							
OSGC-000-000-000-800	Final		2010	2010-08-25							
OSGC-000-000-000-615	Final		2011	2010-10-19							
OSGC-000-000-000-932	Final		2010	2009-12-08							
OSGC-000-000-000-370	Final		2010	2009-12-01							
OSGC-000-000-000-125	Final		2010	2010-01							
OSGC-000-000-000-531	Final		2010	2009-10-10							
OSGC-000-000-000-791	Final		2010	2010-06-01							
OSGC-000-000-000-023	Final		2008	2008-01-30							
OSGC-000-000-000-789	Final		2010	2010-06-01							
OSGC-000-000-000-546	Final		2010	2010-09-01							
OSGC-000-000-000-226	Final		2009	2009-07-23							
OSGC-000-000-001-363	Final		2002	2002-01-01							
OSGC-000-000-000-815	Final		2009	2009-04-22							
OSGC-000-000-000-731	Final		2010	2010-04-12							
OSGC-000-000-000-806	Final		2010	2009-12-01							
OSGC-000-000-000-763	Final		2010	2010-05-01							
OSGC-000-000-000-109	Final		2010	2010-04							
OSGC-000-000-000-819	Final		2010	2010-02-10							
OSGC-000-000-000-018	Final		2009	2009-06-08							
OSGC-000-000-000-814	Final		2010	2009-12-01							
OSGC-000-000-001-017	Final		2011	2010-10-30							
OSGC-000-000-000-289	Final		2010	2010-07-21							
OSGC-000-000-000-757	Final		2010	2009-12-01							
OSGC-000-000-000-204	Final		2010	2010-04-28							
OSGC-000-000-000-869	Final		2011	2010-10-28							
OSGC-000-000-000-104	Final		2009	2009-01							
OSGC-000-000-000-941	Final		2010	2010-07-23							
OSGC-000-000-000-035	Final		2008	2008-09-06							
OSGC-000-000-000-273	Final		2010	2010-01-14							
OSGC-000-000-000-505	Final		2010	2010-01-01							
OSGC-000-000-000-741	Final		2010	2010-09-02							
OSGC-000-000-001-132	Final		2007	2007-08-21							
OSGC-000-000-000-793	Final		2010	2010-05-01							
OSGC-000-000-000-825	Final		2010	2010-03-01							
OSGC-000-000-001-246	Final		2010	2009							
OSGC-000-000-000-935	Final		2010	2009-12-01							
OSGC-000-000-001-036	Final		2011								2010-10-31
OSGC-000-000-000-733	Final		2010	2010-09-08							
OSGC-000-000-000-578	Final		2010	2010-05-14							
OSGC-000-000-000-564	Final		2009	2009-06-01							
OSGC-000-000-001-243	Final		2010	2009							
OSGC-000-000-000-325	Final		2010	2010-09-01							
OSGC-000-000-001-233	Final		2004	2004-03-01							
OSGC-000-000-000-114	Final		2010	2010-03-24							
OSGC-000-000-001-029	Final		2010		2010-10-13						
OSGC-000-000-000-722	Final		2010	2010-06-21							
OSGC-000-000-000-440	Final		2010	2009-12-01							
OSGC-000-000-001-100	Final		2010	2010-01-14							
OSGC-000-000-000-207	Final		2010	2010-02-16							
OSGC-000-000-001-074	Final		2011		2010-11-01						
OSGC-000-000-000-132	Final		2010	2010-06-01							
OSGC-000-000-000-137	Final		2010	2010-02-03							
OSGC-000-000-000-314	Final		2010					2010-07-02			
OSGC-000-000-000-512	Final		2011	2010-11-01							
OSGC-000-000-000-510	Final		2009	2009-05-31							
OSGC-000-000-000-940	Final		2010	2010-01-01							
OSGC-000-000-000-048	Final		2008	2008-06							
OSGC-000-000-000-428	Final		2011	2010-10-08							
OSGC-000-000-000-059	Final		2009	2008-12-01							
OSGC-000-000-000-480	Final		2010		2010-05-24			2010			2009-04-29
OSGC-000-000-000-689	Final		2011		2010-10-15						
OSGC-000-000-000-799	Final		2010	2009-12-01							
OSGC-000-000-000-998	Final		2011	2010-10-30							
OSGC-000-000-000-099	Final		2010	2009-12							
OSGC-000-000-000-803	Final		2010	2009-12-01							
OSGC-000-000-001-251	Final		2010	2009							
OSGC-000-000-000-151	Final		2010	2010-04-02							
OSGC-000-000-000-148	Final		2010	2010-03-09							
OSGC-000-000-000-844	Final		2011	2010-10-28							
OSGC-000-000-000-476	Final		2010	2010-08-14							
OSGC-000-000-000-079	Final		2008	2008-04							
OSGC-000-000-001-058	Final		2011	2010-11-03							
OSGC-000-000-000-154	Final		2010	2010-04-30							
OSGC-000-000-001-247	Final		2010	2010							
OSGC-000-000-000-474	Final		1997	1997-02-01							
OSGC-000-000-001-052	Final		2010	2010-05-05							
OSGC-000-000-000-555	Final		2010	2010-06-10							
OSGC-000-000-000-142	Final		2010	2010-01-12							
OSGC-000-000-000-327	Final		2010	2010-02-19							
OSGC-000-000-000-658	Final		2010	2009-11-20							
OSGC-000-000-000-481	Final		2010	2010-08-01							
OSGC-000-000-001-268	Final		2010	2009							
OSGC-000-000-000-692	Final		2010	2010-08-01							
OSGC-000-000-001-040	Final		2010	2010-08-11							
OSGC-000-000-000-348	Final		2010	2009-11-15							
OSGC-000-000-000-421	Final		2011					2010-10-23			
OSGC-000-000-000-139	Final		2010	2010-02							
OSGC-000-000-000-495	Final		2010	2010-09-01							
OSGC-000-000-000-026	Final		2009	2009-03-01							
OSGC-000-000-000-315	Final		2010	2010-05-01							
OSGC-000-000-000-385	Final		2010	2010-08-01							
OSGC-000-000-000-409	Final		2010	2010-01-11							
OSGC-000-000-000-855	Final		2010	2010-05-06							
OSGC-000-000-000-020	Final		2009	2009-06-05							
OSGC-000-000-000-756	Final		2010	2010-03-01							
