recId	osmStatus	dcsStatus
AMS-000-000-000-004	Unpublished	Preservation
AMS-000-000-000-005	Unpublished	Preservation
AMS-000-000-000-006	Unpublished	Preservation
AMS-000-000-000-007	Unpublished	Preservation
AMS-000-000-000-008	Unpublished	Preservation
AMS-000-000-000-009	Unpublished	Preservation
AMS-000-000-000-010	Unpublished	Preservation
AMS-000-000-000-011	Unpublished	Preservation
AMS-000-000-000-012	Unpublished	Preservation
AMS-000-000-000-014	Unpublished	Preservation
AMS-000-000-000-015	Unpublished	Preservation
AMS-000-000-000-016	Unpublished	Preservation
AMS-000-000-000-017	Unpublished	Preservation
AMS-000-000-000-018	Unpublished	Preservation
AMS-000-000-000-019	Unpublished	Preservation
AMS-000-000-000-020	Unpublished	Preservation
AMS-000-000-000-021	Unpublished	Preservation
AMS-000-000-000-023	Unpublished	Preservation
AMS-000-000-000-024	Unpublished	Preservation
AMS-000-000-000-025	Unpublished	Preservation
AMS-000-000-000-026	Unpublished	Preservation
AMS-000-000-000-027	Unpublished	Holding
AMS-000-000-000-028	Unpublished	Preservation
AMS-000-000-000-029	Unpublished	Holding
AMS-000-000-000-030	Unpublished	Preservation
AMS-000-000-000-031	Unpublished	Preservation
AMS-000-000-000-032	Unpublished	Preservation
AMS-000-000-000-033	Unpublished	Preservation
AMS-000-000-000-034	Unpublished	Holding
AMS-000-000-000-035	Unpublished	Holding
AMS-000-000-000-036	Unpublished	Holding
AMS-000-000-000-037	Unpublished	Holding
AMS-000-000-000-038	Unpublished	Holding
AMS-000-000-000-039	Unpublished	Holding
AMS-000-000-000-040	Unpublished	Holding
AMS-000-000-000-042	Unpublished	Holding
AMS-000-000-000-043	Unpublished	Holding
AMS-000-000-000-044	Unpublished	Holding
AMS-000-000-000-045	Unpublished	Holding
AMS-000-000-000-046	Unpublished	Holding
AMS-000-000-000-047	Unpublished	Holding
AMS-000-000-000-048	Unpublished	Holding
AMS-000-000-000-049	Unpublished	Holding
AMS-000-000-000-050	Unpublished	Holding
AMS-000-000-000-052	Unpublished	Holding
AMS-000-000-000-053	Unpublished	Holding
AMS-000-000-000-054	Unpublished	Holding
AMS-000-000-000-055	Unpublished	Holding
AMS-000-000-000-056	Unpublished	Holding
AMS-000-000-000-057	Unpublished	Holding
AMS-000-000-000-058	Unpublished	Holding
AMS-000-000-000-059	Unpublished	Holding
AMS-000-000-000-060	Unpublished	Holding
AMS-000-000-000-061	Unpublished	Holding
AMS-000-000-000-062	Unpublished	Holding
AMS-000-000-000-063	Unpublished	Holding
AMS-000-000-000-065	Unpublished	Holding
AMS-000-000-000-066	Unpublished	Holding
AMS-000-000-000-067	Unpublished	Holding
AMS-000-000-000-068	Unpublished	Holding
AMS-000-000-000-069	Unpublished	Holding
AMS-000-000-000-070	Unpublished	Holding
AMS-000-000-000-071	Unpublished	Holding
AMS-000-000-000-072	Unpublished	Holding
AMS-000-000-000-073	Unpublished	Holding
AMS-000-000-000-074	Unpublished	Holding
AMS-000-000-000-075	Unpublished	Holding
AMS-000-000-000-076	Unpublished	Holding
AMS-000-000-000-077	Unpublished	Holding
AMS-000-000-000-078	Unpublished	Holding
AMS-000-000-000-079	Unpublished	Holding
AMS-000-000-000-080	Unpublished	Holding
AMS-000-000-000-081	Unpublished	Holding
AMS-000-000-000-082	Unpublished	Holding
AMS-000-000-000-083	Unpublished	Holding
AMS-000-000-000-084	Unpublished	Holding
AMS-000-000-000-085	Unpublished	Holding
AMS-000-000-000-086	Unpublished	Holding
AMS-000-000-000-087	Unpublished	Holding
AMS-000-000-000-088	Unpublished	Holding
AMS-000-000-000-089	Unpublished	Holding
AMS-000-000-000-090	Unpublished	Holding
AMS-000-000-000-091	Unpublished	Holding
AMS-000-000-000-092	Unpublished	Holding
AMS-000-000-000-093	Unpublished	Holding
AMS-000-000-000-094	Unpublished	Holding
AMS-000-000-000-095	Unpublished	Holding
AMS-000-000-000-096	Unpublished	Holding
AMS-000-000-000-097	Unpublished	Holding
AMS-000-000-000-098	Unpublished	Holding
AMS-000-000-000-099	Unpublished	Holding
AMS-000-000-000-100	Unpublished	Holding
AMS-000-000-000-101	Unpublished	Holding
AMS-000-000-000-102	Unpublished	Holding
AMS-000-000-000-103	Unpublished	Holding
AMS-000-000-000-104	Unpublished	Holding
AMS-000-000-000-105	Unpublished	Holding
AMS-000-000-000-106	Unpublished	Holding
AMS-000-000-000-107	Unpublished	Holding
AMS-000-000-000-108	Unpublished	New
AMS-000-000-000-109	Unpublished	New
AMS-000-000-000-110	Unpublished	New
GATE-000-000-000-001	Unpublished	Final
GATE-000-000-000-002	Unpublished	Final
GATE-000-000-000-003	Unpublished	Final
GATE-000-000-000-004	Unpublished	Final
GATE-000-000-000-005	Unpublished	Final
GATE-000-000-000-006	Unpublished	Final
GATE-000-000-000-007	Unpublished	Final
GATE-000-000-000-008	Unpublished	Final
GATE-000-000-000-009	Unpublished	Final
GATE-000-000-000-010	Unpublished	Final
GATE-000-000-000-011	Unpublished	Final
GATE-000-000-000-012	Unpublished	Final
GATE-000-000-000-013	Unpublished	Holding
GATE-000-000-000-014	Unpublished	Final
GATE-000-000-000-015	Unpublished	Final
GATE-000-000-000-016	Unpublished	Final
