pub_date,title,authors,doi,ark,journal,collaboration,num_yellowstone_authors,yellowstone_authors,sum_author_charges,other_ncar_authors
2008-08-01,Distribution and direct radiative forcing of carbonacceous and sulfate aerosols in an interactive size-resolving aerosol-climate model,"Kim, D.; Wang, C.; Ekman, A.; et al",10.1029/2007JD009756,http://n2t.net/ark:/85065/d7794574,Journal of Geophysical Research-Atmospheres,"UCAR, University and Other",1,"Barth, M.",401573.2,"Rasch, P."
2008-06-01,Early experiences with the 360TB IBM Blue Gene/L platform,"Bhanot, G.; Dennis, J.; Edwards, J.; et al",10.1142/S0219876208001443,http://n2t.net/ark:/85065/d7697446,International Journal of Computational Methods,"UCAR, University and Other",3,"Dennis, J.; Edwards, J.; Loft, R.",2614910.8,"Grabowski, W.; St-Cyr, A.; Thomas, S.; Tufo, H."
2008-07-01,Half a million years of coherent dust flux variations in the tropical Pacific and Antarctica,"Winckler, G.; Anderson, R.; Fleisher, M.; et al",,http://n2t.net/ark:/85065/d75b031t,Geochimica et Cosmochimica Acta,UCAR and University,1,"Mahowald, N.",50565.3,
2006-10-15,Toward a unified view of the American Monsoon Systems,"Vera, C.; Higgins, W.; Amador, J.; et al",10.1175/JCLI3896.1,http://n2t.net/ark:/85065/d7n58mww,Journal of Climate,"UCAR, University and Other",1,"Gochis, D.",2588623.8,
2006-06-01,The low resolution CCSM3,"Yeager, S.; Shields, C.; Large, W.; et al",10.1175/JCLI3744.1,http://n2t.net/ark:/85065/d70g3kp3,Journal of Climate,UCAR only,2,"Yeager, S.; Shields, C.",2055060.5,"Large, W.; Hack, J."
2006-06-01,Attribution and impacts of upper ocean biases in CCSM3,"Large, W.; Danabasoglu, G.",,http://n2t.net/ark:/85065/d7br8sqs,Journal of Climate,UCAR only,1,"Danabasoglu, G.",4662078.2,"Large, W."
2006-07-01,Climate-carbon cycle feedback analysis: Results from the C⁴MIP model intercomparison,"Friedlingstein, P.; Cox, P.; Betts, R.; et al",,http://n2t.net/ark:/85065/d7zc83d8,Journal of Climate,"UCAR, University and Other",1,"Lindsay, K.",8780868.5,
2006-08-01,GLACE: The Global Land-Atmosphere Coupling Experiment. 1. Overview,"Koster, R.; Guo, Z.; Dirmeyer, P.; et al",,http://n2t.net/ark:/85065/d7pv6kxc,Journal of Hydrometeorology,"UCAR, University and Other",3,"Bonan, G.; Lawrence, D.; Oleson, K.",5509595.2,
2010-12-31,Rotated versions of the Jablonowski steady-state and baroclinic wave test cases: A dynamical core intercomparison,"Lauritzen, P.; Jablonowski, C.; Taylor, M.; et al",10.3894/JAMES.2010.2.15,http://n2t.net/ark:/85065/d7p26zj2,Journal of Advances in Modeling Earth Systems,"UCAR, University and Other",2,"Lauritzen, P.; Nair, R.",948839.0,
2010-02-01,Surface wind regionalization over complex terrain: Evaluation and analysis of a high-resolution WRF simulation,"Jiménez, P.; González-Rouco, J.; García-Bustamante, E.; et al",10.1175/2009JAMC2175.1,http://n2t.net/ark:/85065/d7513zn8,Journal of Applied Meteorology and Climatology,"UCAR, University and Other",1,"Dudhia, J.",7499.3,
2010-01-26,Lack of universality in decaying magnetohydrodynamic turbulence,"Lee, E.; Brachet, M.; Pouquet, A.; et al",10.1103/PhysRevE.81.016318,http://n2t.net/ark:/85065/d7wm1dvz,Physical Review E,"UCAR, University and Other",1,"Rosenberg, D.",9590.7,"Lee, E.; Brachet, M.; Pouquet, A.; Mininni, P."
2010-09-01,Simulations of subtropical cyclones in a baroclinic channel model,"Davis, C.",10.1175/2010JAS3411.1,http://n2t.net/ark:/85065/d7m32w6z,Journal of the Atmospheric Sciences,UCAR only,1,"Davis, C.",122216.9,
2010-05-01,Flux attenuation due to sensor displacement over sea,"Nilsson, E.; Rutgersson, A.; Sullivan, P.",10.1175/2010JTECHA1388.1,http://n2t.net/ark:/85065/d7bp0362,Journal of Atmospheric and Oceanic Technology,UCAR and University,1,"Sullivan, P.",24930550.2,
2010-01-01,Dynamics of winds and currents coupled to surface waves,"Sullivan, P.; McWilliams, J.",10.1146/annurev-fluid-121108-145541,http://n2t.net/ark:/85065/d7348kt8,Annual Review of Fluid Mechanics,UCAR and University,1,"Sullivan, P.",24930550.2,
2010-08-01,Ensemble-based forecast uncertainty analysis of diverse heavy rainfall events,"Schumacher, R.; Davis, C.",10.1175/2010WAF2222378.1,http://n2t.net/ark:/85065/d7tm7bjr,Weather and Forecasting,UCAR and University,1,"Davis, C.",122216.9,"Schumacher, R."
2010-07-01,A velocity dealiasing technique using rapidly updated analysis from a four-dimensional variational Doppler radar data assimilation system,"Lim, E.; Sun, J.",10.1175/2010JTECHA1300.1,http://n2t.net/ark:/85065/d7k35v31,Journal of Atmospheric and Oceanic Technology,UCAR and Other,1,"Sun, J.",,"Lim, E."
2010-04-01,Environmental controls on the simulated diurnal cycle of warm-season precipitation in the Continental United States,"Trier, S.; Davis, C.; Ahijevych, D.",10.1175/2009JAS3247.1,http://n2t.net/ark:/85065/d79p3234,Journal of the Atmospheric Sciences,UCAR only,2,"Davis, C.; Ahijevych, D.",124532.6,"Trier, S."
