pid,pub_type,pub_date,title,authors,doi,ark,journal,collaboration
"articles:10191","article","2008-08-01","Distribution and direct radiative forcing of carbonacceous and sulfate aerosols in an interactive size-resolving aerosol-climate model","Kim, D.;Wang, C.;et al","10.1029/2007JD009756","ark:/85065/d7794574","Journal of Geophysical Research-Atmospheres","UCAR, University and Other"
"articles:10195","article","2008-06-01","Early experiences with the 360TB IBM Blue Gene/L platform","Bhanot, G.;Dennis, J.;et al","10.1142/S0219876208001443","ark:/85065/d7697446","International Journal of Computational Methods","UCAR, University and Other"
"articles:10199","article","2008-07-01","Half a million years of coherent dust flux variations in the tropical Pacific and Antarctica","Winckler, G.;Anderson, R.;et al","","ark:/85065/d75b031t","Geochimica et Cosmochimica Acta","UCAR and University"
"articles:10216","article","2006-10-15","Toward a unified view of the American Monsoon Systems","Vera, C.;Higgins, W.;et al","10.1175/JCLI3896.1","ark:/85065/d7n58mww","Journal of Climate","UCAR, University and Other"
"articles:10219","article","2006-06-01","The low resolution CCSM3","Yeager, S.;Shields, C.;et al","10.1175/JCLI3744.1","ark:/85065/d70g3kp3","Journal of Climate","UCAR only"
"articles:10221","article","2006-06-01","Attribution and impacts of upper ocean biases in CCSM3","Large, W.;Danabasoglu, G.","","ark:/85065/d7br8sqs","Journal of Climate","UCAR only"
"articles:10238","article","2006-07-01","Climate-carbon cycle feedback analysis: Results from the C⁴MIP model intercomparison","Friedlingstein, P.;Cox, P.;et al","","ark:/85065/d7zc83d8","Journal of Climate","UCAR, University and Other"
"articles:10239","article","2006-08-01","GLACE: The Global Land-Atmosphere Coupling Experiment. 1. Overview","Koster, R.;Guo, Z.;et al","","ark:/85065/d7pv6kxc","Journal of Hydrometeorology","UCAR, University and Other"
"articles:10276","article","2010-12-31","Rotated versions of the Jablonowski steady-state and baroclinic wave test cases: A dynamical core intercomparison","Lauritzen, P.;Jablonowski, C.;et al","10.3894/JAMES.2010.2.15","ark:/85065/d7p26zj2","Journal of Advances in Modeling Earth Systems","UCAR, University and Other"
"articles:10278","article","2010-02-01","Surface wind regionalization over complex terrain: Evaluation and analysis of a high-resolution WRF simulation","Jiménez, P.;González-Rouco, J.;et al","10.1175/2009JAMC2175.1","ark:/85065/d7513zn8","Journal of Applied Meteorology and Climatology","UCAR, University and Other"
"articles:10279","article","2010-01-26","Lack of universality in decaying magnetohydrodynamic turbulence","Lee, E.;Brachet, M.;et al","10.1103/PhysRevE.81.016318","ark:/85065/d7wm1dvz","Physical Review E","UCAR, University and Other"
"articles:10284","article","2010-09-01","Simulations of subtropical cyclones in a baroclinic channel model","Davis, C.","10.1175/2010JAS3411.1","ark:/85065/d7m32w6z","Journal of the Atmospheric Sciences","UCAR only"
"articles:10285","article","2010-05-01","Flux attenuation due to sensor displacement over sea","Nilsson, E.;Rutgersson, A.;et al","10.1175/2010JTECHA1388.1","ark:/85065/d7bp0362","Journal of Atmospheric and Oceanic Technology","UCAR and University"
"articles:10286","article","2010-01-01","Dynamics of winds and currents coupled to surface waves","Sullivan, P.;McWilliams, J.","10.1146/annurev-fluid-121108-145541","ark:/85065/d7348kt8","Annual Review of Fluid Mechanics","UCAR and University"
"articles:10287","article","2010-08-01","Ensemble-based forecast uncertainty analysis of diverse heavy rainfall events","Schumacher, R.;Davis, C.","10.1175/2010WAF2222378.1","ark:/85065/d7tm7bjr","Weather and Forecasting","UCAR and University"
