Lexicon	ID	Term	Author	Status	Date Created	Last Modified
language_arts	5605	Writing :: Purpose:: Recording/Reporting	DF	on	2/1/2010 13:50	2/1/2010 13:50
socst	7179	14th Century :: Europe :: Economics :: Agriculture		on	6/28/2010 13:40	6/28/2010 13:40
socst	7178	14th Century :: Europe :: Economics :: General		on	6/28/2010 13:39	6/28/2010 13:39
socst	7177	14th Century :: Europe :: France :: Military		on	6/28/2010 13:39	6/28/2010 13:39
socst	7176	14th Century :: Europe :: General :: Military		on	6/28/2010 13:38	6/28/2010 13:38
socst	7181	14th Century :: Europe :: General :: Society :: Religion		on	6/28/2010 13:41	6/28/2010 13:41
socst	7188	15th Century :: Asia :: China :: Territorial Expansion		on	6/28/2010 13:45	6/28/2010 13:45
socst	7180	15th Century :: Europe :: Western Europe :: Politics :: General		on	6/28/2010 13:40	6/28/2010 13:40
socst	7313	16th Century :: Africa :: Songhay :: Politics :: General		on	7/6/2010 10:37	7/6/2010 10:37
socst	7312	16th Century :: Africa :: Songhay :: Society :: General		on	7/6/2010 10:37	7/6/2010 10:37
socst	7259	16th Century :: Europe :: General :: Arts :: General		on	7/6/2010 9:57	7/6/2010 9:57
socst	7262	16th Century :: Europe :: General :: Politics :: General		on	7/6/2010 9:59	7/6/2010 9:59
socst	7309	17th Century :: Africa :: South Africa :: Society :: General		on	7/6/2010 10:35	7/6/2010 10:35
socst	6159	17th Century :: Americas :: Latin America :: Science :: Medicine	WGBH	on	2/17/2010 9:41	6/28/2010 13:58
socst	6160	17th Century :: Americas :: Latin America :: Territorial Expansion	WGBH	on	2/17/2010 9:41	6/28/2010 13:58
socst	6801	17th Century :: Americas :: North America :: Society :: Slavery		on	6/21/2010 16:14	6/21/2010 16:14
socst	7323	17th Century :: Asia :: China :: Arts :: General		on	7/6/2010 10:44	7/6/2010 10:44
socst	7322	17th Century :: Asia :: China :: Economics :: General		on	7/6/2010 10:43	7/6/2010 10:43
socst	7264	17th Century :: Europe :: England :: Military		on	7/6/2010 10:00	7/6/2010 10:00
socst	6806	17th Century :: Europe :: England :: Politics :: General		on	6/21/2010 16:32	6/21/2010 16:32
socst	6808	17th Century :: United States :: General :: Society :: Religion		on	6/21/2010 16:34	6/21/2010 16:34
socst	7310	18th Century :: Africa :: South Africa :: Society :: General		on	7/6/2010 10:35	7/6/2010 10:35
